REFSEQ,logFC,AveExpre,T,Pvalue,Adj.P.Value,B
XR_002958836,-2.590808208,2.153799219,-2.467134693,0.014575825,0.982857705,-3.729796831
XR_002958837,-2.590808208,2.153799219,-2.467134693,0.014575825,0.982857705,-3.729796831
XR_244571,-2.590808208,2.153799219,-2.467134693,0.014575825,0.982857705,-3.729796831
XR_430568,-2.590808208,2.153799219,-2.467134693,0.014575825,0.982857705,-3.729796831
NM_001143682,-0.354626448,5.887293829,-1.98341751,0.048874828,0.982857705,-4.081395307
NM_020898,-0.354626448,5.887293829,-1.98341751,0.048874828,0.982857705,-4.081395307
NP_001137154,-0.354626448,5.887293829,-1.98341751,0.048874828,0.982857705,-4.081395307
NP_065949,-0.354626448,5.887293829,-1.98341751,0.048874828,0.982857705,-4.081395307
NR_026554,-0.354626448,5.887293829,-1.98341751,0.048874828,0.982857705,-4.081395307
XM_011538601,-0.354626448,5.887293829,-1.98341751,0.048874828,0.982857705,-4.081395307
XM_011538602,-0.354626448,5.887293829,-1.98341751,0.048874828,0.982857705,-4.081395307
XM_011538603,-0.354626448,5.887293829,-1.98341751,0.048874828,0.982857705,-4.081395307
XM_011538604,-0.354626448,5.887293829,-1.98341751,0.048874828,0.982857705,-4.081395307
XM_017019707,-0.354626448,5.887293829,-1.98341751,0.048874828,0.982857705,-4.081395307
XM_017019708,-0.354626448,5.887293829,-1.98341751,0.048874828,0.982857705,-4.081395307
XM_017019709,-0.354626448,5.887293829,-1.98341751,0.048874828,0.982857705,-4.081395307
XP_011536903,-0.354626448,5.887293829,-1.98341751,0.048874828,0.982857705,-4.081395307
XP_011536904,-0.354626448,5.887293829,-1.98341751,0.048874828,0.982857705,-4.081395307
XP_011536905,-0.354626448,5.887293829,-1.98341751,0.048874828,0.982857705,-4.081395307
XP_011536906,-0.354626448,5.887293829,-1.98341751,0.048874828,0.982857705,-4.081395307
XP_016875196,-0.354626448,5.887293829,-1.98341751,0.048874828,0.982857705,-4.081395307
XP_016875197,-0.354626448,5.887293829,-1.98341751,0.048874828,0.982857705,-4.081395307
XP_016875198,-0.354626448,5.887293829,-1.98341751,0.048874828,0.982857705,-4.081395307
NM_014600,-0.862240734,4.265384887,-2.070259108,0.039887195,0.982857705,-4.027032489
NP_055415,-0.862240734,4.265384887,-2.070259108,0.039887195,0.982857705,-4.027032489
XM_011532806,-0.862240734,4.265384887,-2.070259108,0.039887195,0.982857705,-4.027032489
XP_011531108,-0.862240734,4.265384887,-2.070259108,0.039887195,0.982857705,-4.027032489
NM_001247987,-1.824002827,1.486606912,-2.164390739,0.031780564,0.982857705,-4.087191025
NM_020826,-1.824002827,1.486606912,-2.164390739,0.031780564,0.982857705,-4.087191025
NP_001234916,-1.824002827,1.486606912,-2.164390739,0.031780564,0.982857705,-4.087191025
NP_065877,-1.824002827,1.486606912,-2.164390739,0.031780564,0.982857705,-4.087191025
NM_001286563,-0.839975287,3.783860857,-2.035552265,0.043293624,0.982857705,-4.073207406
NM_001286564,-0.839975287,3.783860857,-2.035552265,0.043293624,0.982857705,-4.073207406
NM_001330396,-0.839975287,3.783860857,-2.035552265,0.043293624,0.982857705,-4.073207406
NM_001354837,-0.839975287,3.783860857,-2.035552265,0.043293624,0.982857705,-4.073207406
NM_001367418,-0.839975287,3.783860857,-2.035552265,0.043293624,0.982857705,-4.073207406
NM_001367419,-0.839975287,3.783860857,-2.035552265,0.043293624,0.982857705,-4.073207406
NM_001367420,-0.839975287,3.783860857,-2.035552265,0.043293624,0.982857705,-4.073207406
NM_001367421,-0.839975287,3.783860857,-2.035552265,0.043293624,0.982857705,-4.073207406
NM_020716,-0.839975287,3.783860857,-2.035552265,0.043293624,0.982857705,-4.073207406
NP_001273492,-0.839975287,3.783860857,-2.035552265,0.043293624,0.982857705,-4.073207406
NP_001273493,-0.839975287,3.783860857,-2.035552265,0.043293624,0.982857705,-4.073207406
NP_001317325,-0.839975287,3.783860857,-2.035552265,0.043293624,0.982857705,-4.073207406
NP_001341766,-0.839975287,3.783860857,-2.035552265,0.043293624,0.982857705,-4.073207406
NP_001354347,-0.839975287,3.783860857,-2.035552265,0.043293624,0.982857705,-4.073207406
NP_001354348,-0.839975287,3.783860857,-2.035552265,0.043293624,0.982857705,-4.073207406
NP_001354349,-0.839975287,3.783860857,-2.035552265,0.043293624,0.982857705,-4.073207406
NP_001354350,-0.839975287,3.783860857,-2.035552265,0.043293624,0.982857705,-4.073207406
NP_065767,-0.839975287,3.783860857,-2.035552265,0.043293624,0.982857705,-4.073207406
XM_005271619,-0.839975287,3.783860857,-2.035552265,0.043293624,0.982857705,-4.073207406
XM_005271621,-0.839975287,3.783860857,-2.035552265,0.043293624,0.982857705,-4.073207406
XM_005271623,-0.839975287,3.783860857,-2.035552265,0.043293624,0.982857705,-4.073207406
XM_005271624,-0.839975287,3.783860857,-2.035552265,0.043293624,0.982857705,-4.073207406
XM_006718892,-0.839975287,3.783860857,-2.035552265,0.043293624,0.982857705,-4.073207406
XM_011542926,-0.839975287,3.783860857,-2.035552265,0.043293624,0.982857705,-4.073207406
XM_011542929,-0.839975287,3.783860857,-2.035552265,0.043293624,0.982857705,-4.073207406
XM_011542930,-0.839975287,3.783860857,-2.035552265,0.043293624,0.982857705,-4.073207406
XM_011542931,-0.839975287,3.783860857,-2.035552265,0.043293624,0.982857705,-4.073207406
XM_011542933,-0.839975287,3.783860857,-2.035552265,0.043293624,0.982857705,-4.073207406
XM_017018039,-0.839975287,3.783860857,-2.035552265,0.043293624,0.982857705,-4.073207406
XM_017018040,-0.839975287,3.783860857,-2.035552265,0.043293624,0.982857705,-4.073207406
XM_017018043,-0.839975287,3.783860857,-2.035552265,0.043293624,0.982857705,-4.073207406
XM_017018044,-0.839975287,3.783860857,-2.035552265,0.043293624,0.982857705,-4.073207406
XM_017018045,-0.839975287,3.783860857,-2.035552265,0.043293624,0.982857705,-4.073207406
XM_017018046,-0.839975287,3.783860857,-2.035552265,0.043293624,0.982857705,-4.073207406
XM_017018047,-0.839975287,3.783860857,-2.035552265,0.043293624,0.982857705,-4.073207406
XM_017018048,-0.839975287,3.783860857,-2.035552265,0.043293624,0.982857705,-4.073207406
XM_017018050,-0.839975287,3.783860857,-2.035552265,0.043293624,0.982857705,-4.073207406
XM_017018051,-0.839975287,3.783860857,-2.035552265,0.043293624,0.982857705,-4.073207406
XM_024448622,-0.839975287,3.783860857,-2.035552265,0.043293624,0.982857705,-4.073207406
XM_024448623,-0.839975287,3.783860857,-2.035552265,0.043293624,0.982857705,-4.073207406
XM_024448624,-0.839975287,3.783860857,-2.035552265,0.043293624,0.982857705,-4.073207406
XP_005271676,-0.839975287,3.783860857,-2.035552265,0.043293624,0.982857705,-4.073207406
XP_005271678,-0.839975287,3.783860857,-2.035552265,0.043293624,0.982857705,-4.073207406
XP_005271680,-0.839975287,3.783860857,-2.035552265,0.043293624,0.982857705,-4.073207406
XP_005271681,-0.839975287,3.783860857,-2.035552265,0.043293624,0.982857705,-4.073207406
XP_006718955,-0.839975287,3.783860857,-2.035552265,0.043293624,0.982857705,-4.073207406
XP_011541228,-0.839975287,3.783860857,-2.035552265,0.043293624,0.982857705,-4.073207406
XP_011541231,-0.839975287,3.783860857,-2.035552265,0.043293624,0.982857705,-4.073207406
XP_011541232,-0.839975287,3.783860857,-2.035552265,0.043293624,0.982857705,-4.073207406
XP_011541233,-0.839975287,3.783860857,-2.035552265,0.043293624,0.982857705,-4.073207406
XP_011541235,-0.839975287,3.783860857,-2.035552265,0.043293624,0.982857705,-4.073207406
XP_016873528,-0.839975287,3.783860857,-2.035552265,0.043293624,0.982857705,-4.073207406
XP_016873529,-0.839975287,3.783860857,-2.035552265,0.043293624,0.982857705,-4.073207406
XP_016873532,-0.839975287,3.783860857,-2.035552265,0.043293624,0.982857705,-4.073207406
XP_016873533,-0.839975287,3.783860857,-2.035552265,0.043293624,0.982857705,-4.073207406
XP_016873534,-0.839975287,3.783860857,-2.035552265,0.043293624,0.982857705,-4.073207406
XP_016873535,-0.839975287,3.783860857,-2.035552265,0.043293624,0.982857705,-4.073207406
XP_016873536,-0.839975287,3.783860857,-2.035552265,0.043293624,0.982857705,-4.073207406
XP_016873537,-0.839975287,3.783860857,-2.035552265,0.043293624,0.982857705,-4.073207406
XP_016873539,-0.839975287,3.783860857,-2.035552265,0.043293624,0.982857705,-4.073207406
XP_016873540,-0.839975287,3.783860857,-2.035552265,0.043293624,0.982857705,-4.073207406
XP_024304390,-0.839975287,3.783860857,-2.035552265,0.043293624,0.982857705,-4.073207406
XP_024304391,-0.839975287,3.783860857,-2.035552265,0.043293624,0.982857705,-4.073207406
XP_024304392,-0.839975287,3.783860857,-2.035552265,0.043293624,0.982857705,-4.073207406
NM_001300779,0.7649735,4.67906695,2.555091567,0.011461685,0.982857705,-3.719644565
NM_015954,0.7649735,4.67906695,2.555091567,0.011461685,0.982857705,-3.719644565
NP_001287708,0.7649735,4.67906695,2.555091567,0.011461685,0.982857705,-3.719644565
NP_057038,0.7649735,4.67906695,2.555091567,0.011461685,0.982857705,-3.719644565
XM_024449000,0.7649735,4.67906695,2.555091567,0.011461685,0.982857705,-3.719644565
XM_024449001,0.7649735,4.67906695,2.555091567,0.011461685,0.982857705,-3.719644565
XP_024304768,0.7649735,4.67906695,2.555091567,0.011461685,0.982857705,-3.719644565
XP_024304769,0.7649735,4.67906695,2.555091567,0.011461685,0.982857705,-3.719644565
NM_002237,-1.923080345,0.929985004,-2.544886246,0.011789584,0.982857705,-3.953542547
NM_172318,-1.923080345,0.929985004,-2.544886246,0.011789584,0.982857705,-3.953542547
NP_002228,-1.923080345,0.929985004,-2.544886246,0.011789584,0.982857705,-3.953542547
XM_006723785,-1.923080345,0.929985004,-2.544886246,0.011789584,0.982857705,-3.953542547
XM_011528800,-1.923080345,0.929985004,-2.544886246,0.011789584,0.982857705,-3.953542547
XM_011528801,-1.923080345,0.929985004,-2.544886246,0.011789584,0.982857705,-3.953542547
XM_011528802,-1.923080345,0.929985004,-2.544886246,0.011789584,0.982857705,-3.953542547
XM_011528803,-1.923080345,0.929985004,-2.544886246,0.011789584,0.982857705,-3.953542547
XM_011528804,-1.923080345,0.929985004,-2.544886246,0.011789584,0.982857705,-3.953542547
XM_011528805,-1.923080345,0.929985004,-2.544886246,0.011789584,0.982857705,-3.953542547
XM_011528806,-1.923080345,0.929985004,-2.544886246,0.011789584,0.982857705,-3.953542547
XP_006723848,-1.923080345,0.929985004,-2.544886246,0.011789584,0.982857705,-3.953542547
XP_011527102,-1.923080345,0.929985004,-2.544886246,0.011789584,0.982857705,-3.953542547
XP_011527103,-1.923080345,0.929985004,-2.544886246,0.011789584,0.982857705,-3.953542547
XP_011527104,-1.923080345,0.929985004,-2.544886246,0.011789584,0.982857705,-3.953542547
XP_011527105,-1.923080345,0.929985004,-2.544886246,0.011789584,0.982857705,-3.953542547
XP_011527106,-1.923080345,0.929985004,-2.544886246,0.011789584,0.982857705,-3.953542547
XP_011527107,-1.923080345,0.929985004,-2.544886246,0.011789584,0.982857705,-3.953542547
XP_011527108,-1.923080345,0.929985004,-2.544886246,0.011789584,0.982857705,-3.953542547
NM_001101800,-0.47473221,4.532966602,-2.145967918,0.033244472,0.982857705,-3.971880934
NM_001101801,-0.47473221,4.532966602,-2.145967918,0.033244472,0.982857705,-3.971880934
NM_016603,-0.47473221,4.532966602,-2.145967918,0.033244472,0.982857705,-3.971880934
NP_001095270,-0.47473221,4.532966602,-2.145967918,0.033244472,0.982857705,-3.971880934
NP_001095271,-0.47473221,4.532966602,-2.145967918,0.033244472,0.982857705,-3.971880934
NP_057687,-0.47473221,4.532966602,-2.145967918,0.033244472,0.982857705,-3.971880934
XM_005272007,-0.47473221,4.532966602,-2.145967918,0.033244472,0.982857705,-3.971880934
XM_006714647,-0.47473221,4.532966602,-2.145967918,0.033244472,0.982857705,-3.971880934
XM_006714648,-0.47473221,4.532966602,-2.145967918,0.033244472,0.982857705,-3.971880934
XM_006714649,-0.47473221,4.532966602,-2.145967918,0.033244472,0.982857705,-3.971880934
XM_011543448,-0.47473221,4.532966602,-2.145967918,0.033244472,0.982857705,-3.971880934
XM_011543449,-0.47473221,4.532966602,-2.145967918,0.033244472,0.982857705,-3.971880934
XM_011543450,-0.47473221,4.532966602,-2.145967918,0.033244472,0.982857705,-3.971880934
XM_017009549,-0.47473221,4.532966602,-2.145967918,0.033244472,0.982857705,-3.971880934
XM_017009550,-0.47473221,4.532966602,-2.145967918,0.033244472,0.982857705,-3.971880934
XM_017009551,-0.47473221,4.532966602,-2.145967918,0.033244472,0.982857705,-3.971880934
XM_024446107,-0.47473221,4.532966602,-2.145967918,0.033244472,0.982857705,-3.971880934
XP_005272064,-0.47473221,4.532966602,-2.145967918,0.033244472,0.982857705,-3.971880934
XP_006714710,-0.47473221,4.532966602,-2.145967918,0.033244472,0.982857705,-3.971880934
XP_006714711,-0.47473221,4.532966602,-2.145967918,0.033244472,0.982857705,-3.971880934
XP_006714712,-0.47473221,4.532966602,-2.145967918,0.033244472,0.982857705,-3.971880934
XP_011541750,-0.47473221,4.532966602,-2.145967918,0.033244472,0.982857705,-3.971880934
XP_011541751,-0.47473221,4.532966602,-2.145967918,0.033244472,0.982857705,-3.971880934
XP_011541752,-0.47473221,4.532966602,-2.145967918,0.033244472,0.982857705,-3.971880934
XP_016865038,-0.47473221,4.532966602,-2.145967918,0.033244472,0.982857705,-3.971880934
XP_016865039,-0.47473221,4.532966602,-2.145967918,0.033244472,0.982857705,-3.971880934
XP_016865040,-0.47473221,4.532966602,-2.145967918,0.033244472,0.982857705,-3.971880934
XP_024301875,-0.47473221,4.532966602,-2.145967918,0.033244472,0.982857705,-3.971880934
NM_001284295,0.56520342,5.577412924,2.051921775,0.041657266,0.982857705,-4.042416916
NM_019015,0.56520342,5.577412924,2.051921775,0.041657266,0.982857705,-4.042416916
NP_001271224,0.56520342,5.577412924,2.051921775,0.041657266,0.982857705,-4.042416916
NP_061888,0.56520342,5.577412924,2.051921775,0.041657266,0.982857705,-4.042416916
NM_000684,-1.197989936,0.758729165,-2.428912499,0.016149171,0.982857705,-4.090048135
NP_000675,-1.197989936,0.758729165,-2.428912499,0.016149171,0.982857705,-4.090048135
NM_024870,-0.674448949,3.885721535,-1.998906475,0.047156357,0.982857705,-4.09839374
NM_025170,-0.674448949,3.885721535,-1.998906475,0.047156357,0.982857705,-4.09839374
NP_079146,-0.674448949,3.885721535,-1.998906475,0.047156357,0.982857705,-4.09839374
NP_079446,-0.674448949,3.885721535,-1.998906475,0.047156357,0.982857705,-4.09839374
XM_011517612,-0.674448949,3.885721535,-1.998906475,0.047156357,0.982857705,-4.09839374
XP_011515914,-0.674448949,3.885721535,-1.998906475,0.047156357,0.982857705,-4.09839374
NM_001345975,-0.372643273,4.162658902,-2.112774606,0.036029242,0.982857705,-4.01562284
NM_001345976,-0.372643273,4.162658902,-2.112774606,0.036029242,0.982857705,-4.01562284
NM_022828,-0.372643273,4.162658902,-2.112774606,0.036029242,0.982857705,-4.01562284
NP_001332904,-0.372643273,4.162658902,-2.112774606,0.036029242,0.982857705,-4.01562284
NP_001332905,-0.372643273,4.162658902,-2.112774606,0.036029242,0.982857705,-4.01562284
NP_073739,-0.372643273,4.162658902,-2.112774606,0.036029242,0.982857705,-4.01562284
XM_011543581,-0.372643273,4.162658902,-2.112774606,0.036029242,0.982857705,-4.01562284
XM_011543582,-0.372643273,4.162658902,-2.112774606,0.036029242,0.982857705,-4.01562284
XM_011543586,-0.372643273,4.162658902,-2.112774606,0.036029242,0.982857705,-4.01562284
XM_017009731,-0.372643273,4.162658902,-2.112774606,0.036029242,0.982857705,-4.01562284
XM_017009733,-0.372643273,4.162658902,-2.112774606,0.036029242,0.982857705,-4.01562284
XM_017009735,-0.372643273,4.162658902,-2.112774606,0.036029242,0.982857705,-4.01562284
XP_011541883,-0.372643273,4.162658902,-2.112774606,0.036029242,0.982857705,-4.01562284
XP_011541884,-0.372643273,4.162658902,-2.112774606,0.036029242,0.982857705,-4.01562284
XP_011541888,-0.372643273,4.162658902,-2.112774606,0.036029242,0.982857705,-4.01562284
XP_016865220,-0.372643273,4.162658902,-2.112774606,0.036029242,0.982857705,-4.01562284
XP_016865222,-0.372643273,4.162658902,-2.112774606,0.036029242,0.982857705,-4.01562284
XP_016865224,-0.372643273,4.162658902,-2.112774606,0.036029242,0.982857705,-4.01562284
XR_001742200,-0.372643273,4.162658902,-2.112774606,0.036029242,0.982857705,-4.01562284
XR_246540,-0.372643273,4.162658902,-2.112774606,0.036029242,0.982857705,-4.01562284
XR_948288,-0.372643273,4.162658902,-2.112774606,0.036029242,0.982857705,-4.01562284
NM_001271667,-0.493806709,3.804977768,-2.729909527,0.006978725,0.982857705,-3.52826336
NM_001271668,-0.493806709,3.804977768,-2.729909527,0.006978725,0.982857705,-3.52826336
NM_001271669,-0.493806709,3.804977768,-2.729909527,0.006978725,0.982857705,-3.52826336
NM_032122,-0.493806709,3.804977768,-2.729909527,0.006978725,0.982857705,-3.52826336
NM_183040,-0.493806709,3.804977768,-2.729909527,0.006978725,0.982857705,-3.52826336
NP_001258596,-0.493806709,3.804977768,-2.729909527,0.006978725,0.982857705,-3.52826336
NP_001258597,-0.493806709,3.804977768,-2.729909527,0.006978725,0.982857705,-3.52826336
NP_001258598,-0.493806709,3.804977768,-2.729909527,0.006978725,0.982857705,-3.52826336
NP_115498,-0.493806709,3.804977768,-2.729909527,0.006978725,0.982857705,-3.52826336
NP_898861,-0.493806709,3.804977768,-2.729909527,0.006978725,0.982857705,-3.52826336
NR_036448,-0.493806709,3.804977768,-2.729909527,0.006978725,0.982857705,-3.52826336
XM_005249447,-0.493806709,3.804977768,-2.729909527,0.006978725,0.982857705,-3.52826336
XM_011514936,-0.493806709,3.804977768,-2.729909527,0.006978725,0.982857705,-3.52826336
XM_011514937,-0.493806709,3.804977768,-2.729909527,0.006978725,0.982857705,-3.52826336
XM_017011348,-0.493806709,3.804977768,-2.729909527,0.006978725,0.982857705,-3.52826336
XM_017011349,-0.493806709,3.804977768,-2.729909527,0.006978725,0.982857705,-3.52826336
